family	host.source
Abyssoviridae	invertebrates
Ackermannviridae	bacteria
Adenoviridae	vertebrates
Adintoviridae	invertebrates+vertebrates
Aggregaviridae	bacteria
Ahmunviridae	archaea
Ahpuchviridae	archaea
Aliceevansviridae	bacteria
Aliusviridae	invertebrates
Alloherpesviridae	vertebrates
Allomimiviridae	algae
Alphaflexiviridae	fungi+plants
Alphasatellitidae	invertebrates+plants
Alphatetraviridae	invertebrates
Alternaviridae	fungi
Alvernaviridae	algae
Amalgaviridae	fungi+plants
Amesuviridae	plants
Amnoonviridae	vertebrates
Ampullaviridae	archaea
Anaerodiviridae	archaea
Anelloviridae	algae+invertebrates+vertebrates
Aoguangviridae	archaea
Arenaviridae	freshwater (S)+vertebrates
Arenbergviridae	bacteria
Arteriviridae	vertebrates
Artoviridae	invertebrates+plants
Ascoviridae	invertebrates
Asfarviridae	invertebrates+vertebrates
Aspiviridae	plants
Assiduviridae	bacteria
Astroviridae	vertebrates
Atkinsviridae	bacteria
Autographiviridae	bacteria
Autolykiviridae	bacteria
Avsunviroidae	plants
Bacilladnaviridae	algae+invertebrates+marine (S)
Baculoviridae	invertebrates
Barnaviridae	fungi
Bartogtaviriformidae	bacteria
Belpaoviridae	invertebrates+vertebrates
Benyviridae	plants
Betaflexiviridae	plants
Bicaudaviridae	archaea
Bidnaviridae	invertebrates
Birnaviridae	invertebrates+vertebrates
Blumeviridae	bacteria
Bornaviridae	vertebrates
Botourmiaviridae	algae+fungi+plants
Brachygtaviriformidae	bacteria
Bromoviridae	plants
Caliciviridae	vertebrates
Carmotetraviridae	invertebrates
Casjensviridae	bacteria
Caulimoviridae	plants
Chaacviridae	archaea
Chaseviridae	bacteria
Chrysoviridae	fungi+invertebrates (S)+plants (S)
Chuviridae	invertebrates+marine (S)+vertebrates
Circoviridae	invertebrates+plants+vertebrates
Clavaviridae	archaea
Closteroviridae	plants
Coronaviridae	vertebrates
Corticoviridae	bacteria
Cremegaviridae	vertebrates
Crepuscuviridae	invertebrates
Crevaviridae	bacteria
Cruliviridae	invertebrates
Curvulaviridae	fungi
Cystoviridae	bacteria
Deltaflexiviridae	fungi+plants
Demerecviridae	bacteria
Dicistroviridae	invertebrates
Discoviridae	fungi
Drexlerviridae	bacteria
Druskaviridae	archaea
Duinviridae	bacteria
Duneviridae	bacteria
Ekchuahviridae	archaea
Endornaviridae	fungi+plants+protists
Euroniviridae	invertebrates
Fervensviridae	archaea
Fiersviridae	bacteria
Filoviridae	vertebrates
Fimoviridae	plants
Finnlakeviridae	bacteria
Flaviviridae	invertebrates+vertebrates
Forsetiviridae	bacteria
Fredfastierviridae	bacteria
Fusariviridae	algae+fungi
Fuselloviridae	archaea
Gammaflexiviridae	fungi
Geminiviridae	invertebrates+plants
Genomoviridae	fungi+invertebrates+plants+sewage (S)+vertebrates
Globuloviridae	archaea
Graaviviridae	archaea
Gresnaviridae	vertebrates
Grimontviridae	bacteria
Guelinviridae	bacteria
Guttaviridae	archaea
Hadakaviridae	fungi
Hafunaviridae	archaea
Haloferuviridae	archaea
Halomagnusviridae	archaea
Halspiviridae	archaea
Hantaviridae	vertebrates
Helgolandviridae	bacteria
Hepadnaviridae	vertebrates
Hepeviridae	vertebrates
Herelleviridae	bacteria
Hypoviridae	fungi+invertebrates
Hytrosaviridae	invertebrates
Iflaviridae	invertebrates
Inoviridae	bacteria
Intestiviridae	bacteria
Iridoviridae	invertebrates+vertebrates
Itzamnaviridae	archaea
Kitaviridae	invertebrates+plants
Kleczkowskaviridae	bacteria
Kolmioviridae	vertebrates
Kyanoviridae	bacteria
Lavidaviridae	protists
Leishbuviridae	protists
Leisingerviridae	archaea
Lipothrixviridae	archaea
Lispiviridae	invertebrates
Madisaviridae	archaea
Malacoherpesviridae	vertebrates
Mamonoviridae	protists
Marnaviridae	algae+marine (S)
Marseilleviridae	protists
Matonaviridae	vertebrates
Matshushitaviridae	bacteria
Mayoviridae	plants
Medioniviridae	invertebrates
Megabirnaviridae	fungi
Mesomimiviridae	algae
Mesoniviridae	invertebrates
Mesyanzhinovviridae	bacteria
Metaviridae	fungi+invertebrates+plants+protists+vertebrates
Metaxyviridae	plants
Microviridae	bacteria
Mimiviridae	protists
Mitoviridae	fungi+plants
Molycolviridae	bacteria
Mononiviridae	invertebrates
Mymonaviridae	fungi+invertebrates+invertebrates (S)+phytobiome (S)+protists+soil (S)
Mypoviridae	invertebrates
Myriaviridae	invertebrates
Nairoviridae	invertebrates+vertebrates
Nanghoshaviridae	vertebrates
Nanhypoviridae	vertebrates
Nanoviridae	plants
Naomviridae	bacteria
Narnaviridae	fungi
Naryaviridae	protists (S)
Natareviridae	invertebrates
Nenyaviridae	protists (S)
Nimaviridae	invertebrates
Nodaviridae	invertebrates+vertebrates
Noraviridae	invertebrates (S)
Nudiviridae	invertebrates
Nyamiviridae	invertebrates+vertebrates
Olifoviridae	vertebrates
Orlajensenviridae	bacteria
Orthoherpesviridae	vertebrates
Orthomyxoviridae	invertebrates+vertebrates
Ovaliviridae	archaea
Pachyviridae	bacteria
Papillomaviridae	vertebrates
Paramyxoviridae	vertebrates
Partitiviridae	fungi+plants+protists
Parvoviridae	invertebrates+vertebrates
Paulinoviridae	bacteria
Peduoviridae	bacteria
Peribunyaviridae	invertebrates+vertebrates
Permutotetraviridae	invertebrates
Pervagoviridae	bacteria
Phasmaviridae	invertebrates
Phenuiviridae	fungi+invertebrates+plants+vertebrates
Phycodnaviridae	algae
Picobirnaviridae	invertebrates+vertebrates
Picornaviridae	vertebrates
Plasmaviridae	bacteria
Plectroviridae	bacteria
Pleolipoviridae	archaea
Pneumoviridae	vertebrates
Polycipiviridae	invertebrates
Polydnaviriformidae	invertebrates
Polymycoviridae	fungi
Polyomaviridae	vertebrates
Pootjesviridae	bacteria
Portogloboviridae	archaea
Pospiviroidae	plants
Potyviridae	plants
Poxviridae	invertebrates+vertebrates
Pseudoviridae	algae+fungi+invertebrates+plants
Pungoviridae	archaea
Pyrstoviridae	archaea
Qinviridae	invertebrates
Quadriviridae	fungi
Redondoviridae	vertebrates
Retroviridae	vertebrates
Rhabdoviridae	fungi+invertebrates+plants+soil (S)+vertebrates
Rhodogtaviriformidae	bacteria
Roniviridae	invertebrates
Rountreeviridae	bacteria
Rudiviridae	archaea
Salasmaviridae	bacteria
Saparoviridae	archaea
Sarthroviridae	invertebrates
Schitoviridae	bacteria
Schizomimiviridae	algae
Secoviridae	plants
Sedoreoviridae	algae+invertebrates+plants+vertebrates
Shortaselviridae	archaea
Simuloviridae	archaea
Sinhaliviridae	invertebrates
Skuldviridae	archaea
Smacoviridae	invertebrates+vertebrates
Soleiviridae	archaea
Solemoviridae	plants
Solinviviridae	invertebrates
Solspiviridae	bacteria
Speroviridae	archaea
Sphaerolipoviridae	archaea
Spinareoviridae	fungi+invertebrates+plants+vertebrates
Spiraviridae	archaea
Stanwilliamsviridae	bacteria
Steigviridae	bacteria
Steitzviridae	bacteria
Straboviridae	bacteria
Sunviridae	vertebrates
Suolaviridae	archaea
Suoliviridae	bacteria
Tectiviridae	bacteria
Thaspiviridae	archaea
Tobaniviridae	invertebrates+vertebrates
Togaviridae	invertebrates+vertebrates
Tolecusatellitidae	plants
Tombusviridae	plants
Tosoviridae	vertebrates
Tospoviridae	invertebrates+plants
Totiviridae	fungi+protists
Tristromaviridae	archaea
Tulasviridae	fungi
Turriviridae	archaea
Tymoviridae	invertebrates+plants
Ungulaviridae	archaea
Verdandiviridae	archaea
Vertoviridae	archaea
Vilmaviridae	bacteria
Vilyaviridae	protists (S)
Virgaviridae	plants
Winoviridae	bacteria
Wupedeviridae	invertebrates
Xinmoviridae	invertebrates
Yadokariviridae	fungi
Yangangviridae	archaea
Yanlukaviridae	archaea
Yaraviridae	algae
Yueviridae	invertebrates
Zierdtviridae	bacteria
Zobellviridae	bacteria
