genus	host.source
Fromanvirus	bacteria
Fudhoevirus	bacteria
Fukuivirus	bacteria
Furovirus	plants
Fussvirus	bacteria
Gahlinevirus	bacteria
Gahlovirus	bacteria
Gahmegovirus	bacteria
Gaiavirus	bacteria
Gajwadongvirus	bacteria
Galateavirus	bacteria
Galaxyvirus	bacteria
Galenevirus	bacteria
Gallantivirus	plants
Gallivirus	vertebrates
Galunavirus	bacteria
Galvastonvirus	bacteria
Galvornvirus	protists (S)
Gamaleyavirus	bacteria
Gambievirus	invertebrates
Gammaarterivirus	vertebrates
Gammabaculovirus	invertebrates
Gammacarmovirus	plants
Gammacoronavirus	vertebrates
Gammaentomopoxvirus	invertebrates
Gammaflexivirus	fungi
Gammafusarivirus	fungi
Gammahypovirus	fungi
Gammainfluenzavirus	vertebrates
Gammanucleorhabdovirus	plants
Gammanudivirus	invertebrates
Gammapapillomavirus	vertebrates
Gammapartitivirus	fungi
Gammapleolipovirus	archaea
Gammapolyomavirus	vertebrates
Gammaretrovirus	vertebrates
Gammascleroulivirus	algae+fungi
Gammatectivirus	bacteria
Gammatorquevirus	vertebrates
Gamtrevirus	bacteria
Ganiavirus	invertebrates
Gaprivervirus	bacteria
Garnievirus	bacteria
Garovuvirus	bacteria
Gaunavirus	bacteria
Gediminasvirus	bacteria
Gegavirus	bacteria
Gegevirus	bacteria
Gehnevirus	bacteria
Gehrmavirus	bacteria
Gelderlandvirus	bacteria
Gemsvirus	bacteria
Gemycircularvirus	fungi+invertebrates+plants+sewage (S)+vertebrates
Gemyduguivirus	invertebrates+plants+vertebrates
Gemygorvirus	plants+sewage (S)+vertebrates
Gemykibivirus	invertebrates+plants+sewage (S)+vertebrates
Gemykolovirus	invertebrates+plants+vertebrates
Gemykrogvirus	invertebrates+sewage (S)+vertebrates
Gemykroznavirus	invertebrates+plants+vertebrates
Gemytondvirus	vertebrates
Gemytripvirus	fungi
Gemyvongvirus	vertebrates
Gequatrovirus	bacteria
Gernuduvirus	bacteria
Gervaisevirus	bacteria
Gesputvirus	bacteria
Getalongvirus	bacteria
Getseptimavirus	bacteria
Ghobesvirus	bacteria
Ghunavirus	bacteria
Giardiavirus	protists
Gibbetvirus	bacteria
Gifriavirus	bacteria
Gihfavirus	bacteria
Gilesvirus	bacteria
Gillianvirus	bacteria
Gilsonvirus	bacteria
Gimaduovirus	bacteria
Gimeltorquevirus	vertebrates
Gladiatorvirus	bacteria
Glaedevirus	bacteria
Glamdringvirus	protists (S)
Glaucusvirus	bacteria
Glazvirus	archaea
Glincaevirus	bacteria
Glossinavirus	invertebrates
Glyciruvirus	bacteria
Gmuhndevirus	bacteria
Godonkavirus	bacteria
Goettingenvirus	bacteria
Gofduovirus	bacteria
Gohshovirus	bacteria
Gonggongvirus	bacteria
Goodmanvirus	bacteria
Goravirus	plants
Gordonvirus	bacteria
Gordtnkvirus	bacteria
Gorganvirus	bacteria
Gorjumvirus	bacteria
Gorodievirus	bacteria
Goslarvirus	bacteria
Gosmusatellite	plants
Goukovirus	invertebrates
Grablovirus	plants
Graikaemvirus	bacteria
Gredihovirus	bacteria
Greenvirus	bacteria
Gregsiragusavirus	bacteria
Grendvuvirus	bacteria
Grisebachstrassevirus	bacteria
Grondvirus	protists (S)
Gruhelivirus	vertebrates
Grusopivirus	vertebrates
Grutrevirus	bacteria
Gruunavirus	bacteria
Gualtarvirus	bacteria
Guelphvirus	bacteria
Gulmivirus	bacteria
Gunawavirus	bacteria
Gundelvirus	bacteria
Gustavvirus	bacteria
Gutovirus	bacteria
Gwanakrovirus	bacteria
Gyeongsanvirus	bacteria
Gylbovirus	invertebrates
Gyrovirus	vertebrates
Habenivirus	bacteria
Hacavirus	archaea
Hacihdavirus	bacteria
Hadakavirus	fungi
Hadassahvirus	bacteria
Haetaevirus	bacteria
Hagavirus	bacteria
Hagravirus	archaea
Hahdsevirus	bacteria
Hahkesevirus	bacteria
Haifavirus	bacteria
Halcalevirus	bacteria
Halcyonevirus	bacteria
Haloferacalesvirus	archaea
Halohivirus	archaea
Hanrivervirus	bacteria
Hapavirus	invertebrates+vertebrates
Hapunavirus	bacteria
Harambevirus	bacteria
Harbinvirus	bacteria
Harkavirus	vertebrates
Harrekavirus	bacteria
Harrisonburgvirus	bacteria
Harrisonvirus	bacteria
Hartmanivirus	vertebrates
Hatrivirus	archaea
Hattifnattvirus	bacteria
Hautrevirus	bacteria
Hawkeyevirus	bacteria
Hedwigvirus	bacteria
Hehrovirus	bacteria
Hehspivirus	bacteria
Heilongjiangvirus	bacteria
Helacdivirus	bacteria
Heliosvirus	algae
Helsettvirus	bacteria
Helsingorvirus	bacteria
Hemiambidensovirus	invertebrates
Hemipivirus	vertebrates
Hemipvirus	invertebrates
Hemivirus	algae+fungi+invertebrates
Hemphillvirus	bacteria
Henifovirus	bacteria
Henipavirus	vertebrates
Henunavirus	bacteria
Henuseptimavirus	bacteria
Hepacivirus	vertebrates
Hepanhamaparvovirus	invertebrates
Hepatovirus	vertebrates
Herbevirus	invertebrates
Herpetohepadnavirus	vertebrates
Herugrimvirus	protists (S)
Hestiavirus	bacteria
Hetorquevirus	vertebrates
Heverleevirus	bacteria
Hexartovirus	invertebrates
Hicfunavirus	bacteria
Higashivirus	bacteria
Higrevirus	plants
Hihdivirus	bacteria
Hinehbovirus	bacteria
Hiroshimavirus	bacteria
Hirvovirus	bacteria
Hiyaavirus	bacteria
Hnatkovirus	bacteria
Hohglivirus	bacteria
Hohltdevirus	bacteria
Hohrdovirus	bacteria
Hollowayvirus	bacteria
Holosalinivirus	bacteria
Homburgvirus	bacteria
Homochaacvirus	archaea
Hongcheonvirus	bacteria
Hopescreekvirus	bacteria
Hoplichthysvirus	vertebrates
Hoptevirus	invertebrates
Hordeivirus	plants
Horusvirus	bacteria
Horwuvirus	invertebrates
Hostuviroid	plants
Hoswirudivirus	archaea
Howevirus	bacteria
Hpunavirus	bacteria
Huanghaivirus	bacteria
Huangshavirus	bacteria
Hubavirus	invertebrates
Hubeivirus	bacteria
Hubramonavirus	fungi+invertebrates (S)+phytobiome (S)+soil (S)
Huchismacovirus	vertebrates
Hudivirus	invertebrates
Hudovirus	invertebrates
Huelvavirus	bacteria
Huhbevirus	bacteria
Huhmpluvirus	bacteria
Hukohnovirus	bacteria
Hukuchivirus	bacteria
Huleruivirus	bacteria
Hungariovirus	bacteria
Hunnivirus	vertebrates
Huohcivirus	bacteria
Hupolycivirus	invertebrates
Huylevirus	bacteria
Hyjrovirus	bacteria
Hylipavirus	bacteria
Hymovirus	invertebrates
Hysdruvirus	bacteria
Hzauvirus	bacteria
Iaduovirus	bacteria
Iapetusvirus	bacteria
Icepovirus	bacteria
Icerudivirus	archaea
Ichnoviriform	invertebrates
Ichonovirus	bacteria
Ichtadenovirus	vertebrates
Ichtchaphamaparvovirus	vertebrates
Ictavirus	vertebrates
Icumivirus	bacteria
Idaeovirus	plants
Ideskevirus	bacteria
Idnoreovirus	invertebrates
Iflavirus	invertebrates
Iggyvirus	bacteria
Igirivirus	bacteria
Ikedavirus	bacteria
Ilarvirus	plants
Illuinvirus	protists (S)
Iltovirus	vertebrates
Ilzatvirus	bacteria
Imeberivirus	bacteria
Immanueltrevirus	bacteria
Immutovirus	bacteria
Imvubuvirus	bacteria
Inbricusvirus	bacteria
Incheonvirus	bacteria
Indlulamithivirus	bacteria
Ineyimevirus	bacteria
Infratovirus	vertebrates
Infulavirus	bacteria
Ingelinevirus	bacteria
Inhavirus	bacteria
Innesvirus	bacteria
Innmovirus	freshwater (S)
Inovirus	bacteria
Inpeasmacovirus	vertebrates
Insbruvirus	bacteria
Intasivirus	bacteria
Invictavirus	invertebrates
Iodovirus	bacteria
Ionavirus	bacteria
Iotaarterivirus	vertebrates
Iotapapillomavirus	vertebrates
Iotatorquevirus	vertebrates
Ipivevirus	bacteria
Ipomovirus	plants
Iridovirus	invertebrates
Irrigatiovirus	bacteria
Irtavirus	bacteria
Iruqauvirus	bacteria
Isavirus	vertebrates
Ishigurovirus	bacteria
Ishugivirus	bacteria
Isoihlovirus	bacteria
Isoldevirus	bacteria
Itarudivirus	archaea
Iteradensovirus	invertebrates
Ithacavirus	bacteria
Ittyvirus	bacteria
Ivolevirus	bacteria
Iwahcevirus	bacteria
Ixovirus	invertebrates
Jacevirus	bacteria
Jacunavirus	bacteria
Jahgtovirus	bacteria
Jalkavirus	bacteria
Jamesmcgillvirus	bacteria
Janusvirus	bacteria
Japarudivirus	archaea
Jargovirus	bacteria
Jarilovirus	bacteria
Jarrellvirus	bacteria
Jasminevirus	bacteria
Jedunavirus	bacteria
Jeilongvirus	vertebrates
Jelitavirus	bacteria
Jenstvirus	bacteria
Jeonjuvirus	bacteria
Jerseyvirus	bacteria
Jesfedecavirus	bacteria
Jhansiroadvirus	bacteria
Jiangsuvirus	bacteria
Jiaodavirus	bacteria
Jiaoyazivirus	bacteria
Jiesduavirus	bacteria
Jiforsuvirus	bacteria
Jilinvirus	bacteria
Jimmervirus	bacteria
Johnovirus	bacteria
Johnsonvirus	bacteria
Jolieduovirus	bacteria
Jonvirus	invertebrates
Jouyvirus	bacteria
Juiceboxvirus	bacteria
Jujuvirus	bacteria
Julieunavirus	bacteria
Junavirus	bacteria
Junduvirus	bacteria
Jupbevirus	bacteria
Justusliebigvirus	bacteria
Jwalphavirus	bacteria
Kablunavirus	bacteria
Kafavirus	bacteria
Kafunavirus	bacteria
Kagamiyamavirus	bacteria
Kagunavirus	bacteria
Kahfsdivirus	bacteria
Kahnayevirus	bacteria
Kahnovirus	bacteria
Kahraivirus	bacteria
Kahshuvirus	bacteria
Kahucivirus	bacteria
Kairosalinivirus	bacteria
Kajamvirus	bacteria
Kakivirus	bacteria
Kalppathivirus	bacteria
Kamchatkavirus	bacteria
Kanagawavirus	bacteria
Kanaloavirus	bacteria
Kantovirus	bacteria
Kaohsiungvirus	bacteria
Kapieceevirus	bacteria
Kappaarterivirus	vertebrates
Kappapapillomavirus	vertebrates
Kappatorquevirus	vertebrates
Karamvirus	bacteria
Karezivirus	bacteria
Karimacvirus	bacteria
Kayeltresvirus	bacteria
Kayfunavirus	bacteria
Kaypoctavirus	bacteria
Kayvirus	bacteria
Kecijavirus	bacteria
Kecuhnavirus	bacteria
Keghovirus	bacteria
Kehishuvirus	bacteria
Kehmevirus	bacteria
Kehruavirus	bacteria
Keisodnavirus	algae
Kelleziovirus	bacteria
Kelmasvirus	bacteria
Kelquatrovirus	bacteria
Kembevirus	bacteria
Kemicevirus	bacteria
Kemiovirus	bacteria
Kempsvovirus	bacteria
Kenamavirus	bacteria
Kenoshavirus	bacteria
Kenyattavirus	bacteria
Kerishovirus	bacteria
Keshuvirus	bacteria
Keylargovirus	bacteria
Khurdivirus	invertebrates+vertebrates
Kieseladnavirus	invertebrates+marine (S)
Kihrivirus	bacteria
Kihryuvirus	bacteria
Kihsiravirus	bacteria
Kilunavirus	bacteria
Kimihcavirus	bacteria
Kimonavirus	bacteria
Kingevirus	bacteria
Kinglevirus	bacteria
Kirikabuvirus	bacteria
Kirnavirus	bacteria
Kirovvirus	bacteria
Kisinvirus	archaea
Kisquattuordecimvirus	bacteria
Kisquinquevirus	bacteria
Kiwsmaevirus	bacteria
Klausavirus	bacteria
Kleczkowskavirus	bacteria
Klementvirus	bacteria
Klosterneuburgvirus	bacteria
Klumppvirus	bacteria
Knuthellervirus	bacteria
Kobbarisatellite	plants
Kobuvirus	vertebrates
Kochikohdavirus	bacteria
Kochitakasuvirus	bacteria
Kohmavirus	bacteria
Kojivirus	bacteria
Kokobelvirus	bacteria
Kolesnikvirus	bacteria
Kolpuevirus	bacteria
Konkivirus	bacteria
Konmavirus	bacteria
Konstantinevirus	bacteria
Korravirus	bacteria
Kostyavirus	bacteria
Kotilavirus	bacteria
Koutsourovirus	bacteria
Kowinovirus	bacteria
Kozyakovvirus	bacteria
Krakvirus	bacteria
Krampusvirus	bacteria
Kratiovirus	bacteria
Kratosvirus	algae
Krischvirus	bacteria
Kroosvirus	bacteria
Krylovvirus	bacteria
Kryptosalinivirus	bacteria
Kudohovirus	bacteria
Kuhfotivirus	bacteria
Kuhshuvirus	bacteria
Kujavirus	bacteria
Kukrinivirus	vertebrates
Kukulkanvirus	archaea
Kuleanavirus	bacteria
Kumaovirus	bacteria
Kumottavirus	bacteria
Kungbxnavirus	bacteria
Kunmingvirus	bacteria
Kunsagivirus	vertebrates
Kuravirus	bacteria
Kusarnavirus	algae
Kuttervirus	bacteria
Kvaramitovirus	fungi
Kwaitsingvirus	bacteria
Kyanivirus	bacteria
Kylevirus	bacteria
Kyungwonvirus	bacteria
Labanvirus	bacteria
Labyrnavirus	algae
Lacnuvirus	bacteria
Lacusarxvirus	bacteria
Lafunavirus	bacteria
Lagaffevirus	bacteria
Lagovirus	vertebrates
Lahcomavirus	bacteria
Lahexavirus	bacteria
Lahndsivirus	bacteria
Laimuvirus	bacteria
Lakivirus	invertebrates
Lambavirus	vertebrates
Lambdaarterivirus	vertebrates
Lambdapapillomavirus	vertebrates
Lambdatorquevirus	vertebrates
Lambdavirus	bacteria
Lambovirus	bacteria
Laminvirus	archaea
Lanavirus	bacteria
Larmunavirus	bacteria
Laroyevirus	bacteria
Lasallevirus	bacteria
Lastavirus	bacteria
Latrobevirus	bacteria
Laulavirus	fungi+invertebrates
Lauvirus	bacteria
Lavrentievavirus	bacteria
Lazarusvirus	bacteria
Lazuovirus	bacteria
Lebriduvirus	bacteria
Ledantevirus	invertebrates+vertebrates
Lederbergvirus	bacteria
Leefvirus	bacteria
Lehptavirus	bacteria
Lehptevirus	bacteria
Leicestervirus	bacteria
Leishmaniavirus	protists
Lentavirus	bacteria
Lentimonavirus	fungi
Lentinuvirus	fungi
Lentivirus	vertebrates
Lenusvirus	bacteria
Leocovirus	invertebrates
Leonardvirus	bacteria
Leporipoxvirus	vertebrates
Lessievirus	bacteria
Leucotheavirus	bacteria
Libanvirus	bacteria
Libingvirus	bacteria
Lidleunavirus	bacteria
Liebevirus	bacteria
Liefievirus	bacteria
Lietduovirus	bacteria
Lightbulbvirus	bacteria
Lihvevirus	bacteria
Likavirus	bacteria
Lilbeanievirus	bacteria
Lillamyvirus	bacteria
Lilmcdreamyvirus	bacteria
Lilyvirus	bacteria
Limaivirus	bacteria
Limdunavirus	bacteria
Limelightvirus	bacteria
Limestonevirus	bacteria
Limnipivirus	vertebrates
Lincruvirus	invertebrates
Lindendrivevirus	bacteria
Lineavirus	bacteria
Lingvirus	bacteria
Lipsvirus	bacteria
Lirnavirus	bacteria
Lirvirus	bacteria
Littlefixvirus	bacteria
Litunavirus	bacteria
Livupivirus	vertebrates
Livvievirus	bacteria
Llyrvirus	bacteria
Loanvirus	vertebrates
Lobdovirus	bacteria
Locarnavirus	marine (S)
Loessnervirus	bacteria
Lohmavirus	bacteria
Lokivirus	bacteria
Lolavirus	plants
Lomnativirus	bacteria
Lomovskayavirus	bacteria
Lonfivirus	archaea
Longwoodvirus	bacteria
Lonzbavirus	bacteria
Lophivirus	bacteria
Loptevirus	bacteria
Loriparvovirus	vertebrates
Loslovirus	bacteria
Lostrhavirus	invertebrates
Loudonvirus	bacteria
Loughboroughvirus	bacteria
Lowelvirus	bacteria
Lubbockvirus	bacteria
Luchadorvirus	bacteria
Luckybarnesvirus	bacteria
Luckytenvirus	bacteria
Ludhianavirus	bacteria
Ludopivirus	vertebrates
Lughvirus	bacteria
Lullwatervirus	bacteria
Luloavirus	bacteria
Lulohlevirus	bacteria
Lumosvirus	bacteria
Luteovirus	plants
Luthavirus	bacteria
Luzseptimavirus	bacteria
Lwoffvirus	bacteria
Lyctovirus	vertebrates
Lygehevirus	bacteria
Lymphocryptovirus	vertebrates
Lymphocystivirus	vertebrates
Lyndovirus	bacteria
Lyssavirus	vertebrates
Maaswegvirus	bacteria
Macanavirus	plants
Macariavirus	bacteria
Macavirus	vertebrates
Macdonaldcampvirus	bacteria
Machinavirus	bacteria
Machlomovirus	plants
Macluravirus	plants
Macronovirus	invertebrates
Macropopoxvirus	vertebrates
Maculavirus	plants
Maculvirus	bacteria
Madalivirus	invertebrates
Madisduvirus	bacteria
Maenadvirus	bacteria
Magadivirus	bacteria
Magiavirus	bacteria
Magoulivirus	algae+fungi+plants
Mahdsavirus	bacteria
Mahjnavirus	bacteria
Mahlunavirus	bacteria
Mahqeavirus	bacteria
Mahrahovirus	bacteria
Mahraivirus	bacteria
Mahshuvirus	bacteria
Mahstovirus	bacteria
Majavirus	bacteria
Makaravirus	bacteria
Makelovirus	bacteria
Malagasivirus	vertebrates
Maldovirus	plants
Maltschvirus	bacteria
Mamastrovirus	vertebrates
Mammarenavirus	vertebrates
Manhattanvirus	bacteria
Manohtivirus	bacteria
Manovirus	bacteria
Manrohovirus	bacteria
Manticavirus	vertebrates
Manuelvirus	bacteria
Mapvirus	bacteria
Marafivirus	plants
Mardecavirus	bacteria
Mardivirus	vertebrates
Mareflavirus	bacteria
Marfavirus	bacteria
Marienburgvirus	bacteria
Marnavirus	algae
Marseillevirus	protists
Marskhivirus	bacteria
Marsupivirus	vertebrates
Martavirus	bacteria
Marthavirus	bacteria
Marvinvirus	bacteria
Mastadenovirus	vertebrates
Mastrevirus	plants
Matervirus	bacteria
Mathaucavirus	archaea
Matsuvirus	bacteria
Mavirus	protists
Maxdohrnvirus	bacteria
Maxrubnervirus	bacteria
Mazarbulvirus	protists (S)
Mazuvirus	bacteria
Mcgonagallvirus	bacteria
Meadowvirus	bacteria
Meblowovirus	bacteria
Mechlorovirus	invertebrates+plants
Medusavirus	protists
Megabirnavirus	fungi
Megalocytivirus	vertebrates
Megavirus	protists
Megrivirus	vertebrates
Mehraxmevirus	bacteria
Meihzavirus	bacteria
Mekintivirus	bacteria
Melvirus	bacteria
Mementomorivirus	bacteria
Menderavirus	bacteria
Menegrothvirus	protists (S)
Menthavirus	plants
Merhavirus	invertebrates
Mersinvirus	bacteria
Metaavulavirus	vertebrates
Metahepadnavirus	vertebrates
Metalloincertoparvovirus	invertebrates
Metamorphoovirus	bacteria
Metapneumovirus	vertebrates
Metavirus	fungi+invertebrates+plants+protists+vertebrates
Metforvirus	archaea
Methovirus	bacteria
Metrivirus	bacteria
Metsavirus	bacteria
Mexirudivirus	archaea
Mguuvirus	bacteria
Miamivirus	bacteria
Micavirus	bacteria
Microwolfvirus	bacteria
Midgardsormrvirus	bacteria
Mieseafarmvirus	bacteria
Mihkrovirus	bacteria
Milihnovirus	bacteria
Miltoncavirus	bacteria
Miltonvirus	bacteria
Milvetsatellite	plants
Mimasvirus	bacteria
Mimivirus	protists
Mimoreovirus	algae
Mincapvirus	archaea
Mingyongvirus	bacteria
Minhovirus	bacteria
Miniambidensovirus	invertebrates
Minipunavirus	bacteria
Minorvirus	archaea
Minovirus	vertebrates
Mintinovirus	bacteria
Mintuvirus	bacteria
Minunavirus	bacteria
Minusuvirus	bacteria
Mischivirus	vertebrates
Mitdiwavirus	bacteria
Mithrilvirus	protists (S)
Mivedwarsatellite	plants
Mivirus	invertebrates
Moabitevirus	bacteria
Moazamivirus	bacteria
Mobatvirus	vertebrates
Mobuvirus	invertebrates
Mocruvirus	bacteria
Mohonavirus	bacteria
Moineauvirus	bacteria
Molluscipoxvirus	vertebrates
Mollymurvirus	bacteria
Mollyvirus	bacteria
Moloevirus	bacteria
Molucevirus	bacteria
Monamovirus	bacteria
Monekavirus	bacteria
Montyvirus	bacteria
Mooglevirus	bacteria
Moomoovirus	bacteria
Moonbeamvirus	bacteria
Moonvirus	bacteria
Mooreparkvirus	bacteria
Moovirus	bacteria
Morbillivirus	vertebrates
Morsusvirus	invertebrates
Mosavirus	vertebrates
Mosigvirus	bacteria
Mosugukvirus	bacteria
Moturavirus	bacteria
Moumouvirus	protists
Mousrhavirus	invertebrates
Muarterivirus	vertebrates
Mucrahivirus	bacteria
Mudcatvirus	bacteria
Mufasoctovirus	bacteria
Mukerjeevirus	bacteria
Mulcrilevirus	plants
Muldoonvirus	bacteria
Muminvirus	bacteria
Mupapillomavirus	vertebrates
Mupivirus	vertebrates
Murciavirus	bacteria
Muromegalovirus	vertebrates
Murrayvirus	bacteria
Muscarsatellite	plants
Muscavirus	invertebrates
Muscodensovirus	invertebrates
Mushuvirus	bacteria
Mustelpoxvirus	vertebrates
Mutorquevirus	algae+vertebrates
Muvirus	bacteria
Muyegivirus	bacteria
Mycoabscvirus	bacteria
Mycoflexivirus	fungi
Mycoreovirus	fungi
Mydovirus	bacteria
Myducvirus	bacteria
Mykissvirus	vertebrates
Mylasvirus	bacteria
Myoalterovirus	bacteria
Myohalovirus	archaea
Myosmarvirus	bacteria
Myradeevirus	bacteria
Myriavirus	invertebrates
Myrnavirus	bacteria
Myrropivirus	vertebrates
Myunavirus	bacteria
Myxoctovirus	bacteria
Nacovirus	vertebrates
Nadsecevirus	bacteria
Naesvirus	bacteria
Nahantvirus	bacteria
Nahjiuvirus	bacteria
Nahrudavirus	bacteria
Nahsuvirus	bacteria
Namakavirus	bacteria
Namazuvirus	bacteria
Nampongvirus	bacteria
Nanhaivirus	bacteria
Nanhuvirus	bacteria
Nankokuvirus	bacteria
Nanovirus	plants
Napahaivirus	bacteria
Narmovirus	vertebrates
Narnavirus	fungi
Nasenivirus	invertebrates
Natevirus	bacteria
Nauglamirvirus	protists (S)
Nazgulvirus	bacteria
Nebovirus	vertebrates
Neferthenavirus	bacteria
Negarvirus	bacteria
Nehohpavirus	bacteria
Nehpavirus	bacteria
Nehujevirus	bacteria
Nehumivirus	bacteria
Nekkelsvirus	bacteria
Nematovirus	invertebrates
Nepovirus	plants
Neptunevirus	bacteria
Neratovirus	bacteria
Nereusvirus	bacteria
Neritesvirus	bacteria
Nerrivikvirus	bacteria
Nesevirus	bacteria
Nevevirus	bacteria
Nevillevirus	bacteria
Newforgelanevirus	bacteria
Nezavisimistyvirus	bacteria
Niankuvirus	bacteria
Nicedsevirus	bacteria
Nickievirus	bacteria
Nieuwekanaalvirus	bacteria
Nigecruvirus	invertebrates
Niginuvirus	bacteria
Nihlwovirus	bacteria
Nihucivirus	bacteria
Nilusvirus	bacteria
Nimanivirus	invertebrates
Nimduovirus	bacteria
Nimphelosvirus	protists (S)
Ningirsuvirus	bacteria
Nipunavirus	bacteria
Nitmarvirus	archaea
Nitunavirus	bacteria
Niuhvovirus	bacteria
Noahvirus	bacteria
Nochtlivirus	bacteria
Nodensvirus	bacteria
Noehsivirus	bacteria
Nohelivirus	archaea
Nohivirus	bacteria
Nonagvirus	bacteria
Nonanavirus	bacteria
Norovirus	vertebrates
Northamptonvirus	bacteria
Norwavirus	invertebrates+vertebrates
Nouzillyvirus	bacteria
Novemvirus	bacteria
Novirhabdovirus	vertebrates
Novosibovirus	bacteria
Novosibvirus	bacteria
Noxifervirus	bacteria
Nuarterivirus	vertebrates
Nuihimevirus	bacteria
Nupapillomavirus	vertebrates
Nutorquevirus	vertebrates
Nyavirus	invertebrates+vertebrates
Nyceiraevirus	bacteria
Nyfulvavirus	invertebrates
Nylescharonvirus	bacteria
Nymphadoravirus	bacteria
Obhoarovirus	bacteria
Oblavirus	vertebrates
Obolenskvirus	bacteria
Obscuruvirus	invertebrates
Oceanusvirus	algae
Oceshuvirus	bacteria
Ocetevirus	invertebrates
Ociwvivirus	bacteria
Octobienvirus	bacteria
Odiravirus	bacteria
Odonatavirus	invertebrates
Oekfovirus	bacteria
Oengusvirus	bacteria
Ohlsrhavirus	invertebrates
Oinezvirus	bacteria
Okavirus	invertebrates
Okubovirus	bacteria
Oleavirus	plants
Olivavirus	plants
Oliverunavirus	bacteria
Ollusvirus	invertebrates
Olmsdivirus	bacteria
Omarvirus	bacteria
Omegapapillomavirus	vertebrates
Omegatetravirus	invertebrates
Omegatorquevirus	vertebrates
Omegavirus	bacteria
Omicrontorquevirus	vertebrates
Omikronpapillomavirus	vertebrates
Omohevirus	bacteria
Oncotshavirus	vertebrates
Oneupvirus	bacteria
Onohmuvirus	bacteria
Onyinyevirus	bacteria
Opdykovirus	bacteria
Ophiovirus	plants
Opunvirus	plants
Orbivirus	invertebrates+vertebrates
Orchidvirus	bacteria
Orinovirus	invertebrates
Orivirus	vertebrates
Ormalvirus	protists (S)
Ormenosvirus	bacteria
Orthoavulavirus	vertebrates
Orthobornavirus	vertebrates
Orthobunyavirus	invertebrates+vertebrates
Orthocurvulavirus	fungi
Orthodiscovirus	fungi
Orthoebolavirus	vertebrates
Orthoflavivirus	invertebrates+vertebrates
Orthohantavirus	vertebrates
Orthohepadnavirus	vertebrates
Orthomarburgvirus	vertebrates
Orthonairovirus	invertebrates+vertebrates
Orthonoravirus	invertebrates (S)
Orthophasmavirus	invertebrates
Orthopicobirnavirus	invertebrates+vertebrates
Orthopneumovirus	vertebrates
Orthopoxvirus	vertebrates
Orthoreovirus	invertebrates+vertebrates
Orthorubulavirus	vertebrates
Orthotospovirus	invertebrates+plants
Orthotulasvirus	fungi
Oryzavirus	invertebrates+plants
Oryzopoxvirus	vertebrates
Oscivirus	vertebrates
Oshimavirus	bacteria
Osigowavirus	bacteria
Oslovirus	bacteria
Ostreavirus	vertebrates
Otagovirus	bacteria
Ourmiavirus	plants
Owenocuvirus	bacteria
Oxychlovirus	bacteria
Paadamvirus	bacteria
Pacehavirus	bacteria
Pacinivirus	bacteria
Paclarkvirus	bacteria
Pacuvirus	invertebrates+vertebrates
Pagavirus	bacteria
Pagevirus	bacteria
Pagohnivirus	bacteria
Paguronivirus	invertebrates
Pahdacivirus	bacteria
Pahexavirus	bacteria
Pahsextavirus	bacteria
Pahspavirus	bacteria
Pairvirus	bacteria
Pakpunavirus	bacteria
Palaemonvirus	bacteria
Palantirivirus	protists (S)
Palsdevirus	bacteria
Pamexvirus	bacteria
Pamirivirus	bacteria
Panicovirus	plants
Panjvirus	bacteria
Pankowvirus	bacteria
